,station,fecha,latitude,longitude,elevation,name,report_type,source,sunrise,sunset,dailyaveragedewpointtemperature,dailyaveragedrybulbtemperature,dailyaveragerelativehumidity,dailyaveragesealevelpressure,dailyaveragestationpressure,dailyaveragewetbulbtemperature,dailyaveragewindspeed,dailymaximumdrybulbtemperature,dailyminimumdrybulbtemperature,dailypeakwinddirection,dailypeakwindspeed,dailyprecipitation,dailysustainedwinddirection,dailysustainedwindspeed,fecha_corta
50,72641014837,2019-09-01 23:59:00,43.1405,-89.3452,264.0,"MADISON DANE CO REGIONAL AIRPORT, WI US",SOD,6,521.0,1833.0,57.0,65.0,74.0,30.11,29.17,60.0,2.2,77.0,53.0,170.0,14.0,0.0,170.0,12.0,2019-09-01
51,72753014914,2019-09-01 23:59:00,46.9253,-96.8111,274.3,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",SOD,6,546.0,1907.0,60.0,66.0,84.0,30.04,29.08,62.0,5.6,72.0,60.0,180.0,16.0,,160.0,12.0,2019-09-01
52,72659014929,2019-09-01 23:59:00,45.4433,-98.413,395.3,"ABERDEEN REGIONAL AIRPORT, SD US",SOD,6,555.0,1912.0,60.0,68.0,82.0,30.04,28.66,62.0,4.7,75.0,60.0,110.0,12.0,,110.0,9.0,2019-09-01
53,72617014742,2019-09-01 23:59:00,44.4683,-73.1499,100.6,"BURLINGTON INTERNATIONAL AIRPORT, VT US",SOD,6,515.0,1830.0,51.0,64.0,66.0,30.28,29.91,57.0,6.4,76.0,52.0,200.0,24.0,0.1,200.0,17.0,2019-09-01
54,72407093730,2019-09-01 23:59:00,39.45202,-74.56699,18.3,"ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US",SOD,6,526.0,1830.0,61.0,72.0,69.0,30.27,30.2,65.0,7.2,82.0,61.0,70.0,22.0,0.0,70.0,16.0,2019-09-01
55,72326013891,2019-09-01 23:59:00,35.8181,-83.9858,293.2,"KNOXVILLE AIRPORT, TN US",SOD,6,608.0,1904.0,63.0,77.0,66.0,30.1,29.08,68.0,2.8,89.0,65.0,100.0,10.0,0.0,90.0,8.0,2019-09-01
56,72544014923,2019-09-01 23:59:00,41.46528,-90.52333,180.4,"MOLINE QUAD CITY INTERNATIONAL AIRPORT, IL US",SOD,6,528.0,1835.0,62.0,70.0,81.0,30.1,29.46,65.0,3.9,78.0,61.0,70.0,18.0,0.02,80.0,13.0,2019-09-01
57,72791094224,2019-09-01 23:59:00,46.1569,-123.8825,2.7,"ASTORIA AIRPORT PORT OF, OR US",SOD,6,536.0,1854.0,59.0,66.0,86.0,30.01,29.98,61.0,4.4,71.0,60.0,220.0,19.0,0.0,230.0,14.0,2019-09-01
58,72526604751,2019-09-01 23:59:00,41.79835,-78.6355,652.9,"BRADFORD REGIONAL AIRPORT, PA US",SOD,6,540.0,1848.0,56.0,62.0,81.0,30.22,27.99,58.0,6.0,69.0,54.0,180.0,20.0,0.59,180.0,15.0,2019-09-01
59,72526014860,2019-09-01 23:59:00,42.0803,-80.1824,222.2,"ERIE INTERNATIONAL AIRPORT, PA US",SOD,6,546.0,1855.0,58.0,70.0,70.0,30.15,29.39,62.0,7.5,77.0,62.0,340.0,29.0,0.93,20.0,23.0,2019-09-01
60,72509014739,2019-09-01 23:59:00,42.3606,-71.0097,3.7,"BOSTON, MA US",SOD,6,509.0,1819.0,55.0,67.0,65.0,30.34,30.31,60.0,8.6,72.0,62.0,80.0,18.0,0.0,80.0,14.0,2019-09-01
61,72312003870,2019-09-01 23:59:00,34.90611,-82.21255,291.1,"GRNVL SPART INTERNATIONAL AIRPORT, SC US",SOD,6,601.0,1856.0,63.0,78.0,64.0,30.13,29.13,68.0,5.4,87.0,68.0,50.0,15.0,0.0,70.0,12.0,2019-09-01
62,72240003937,2019-09-01 23:59:00,30.12472,-93.22833,2.7,"LAKE CHARLES REGIONAL AIRPORT, LA US",SOD,6,550.0,1836.0,72.0,85.0,69.0,30.01,29.98,76.0,7.1,96.0,74.0,80.0,24.0,0.0,90.0,20.0,2019-09-01
63,72517014737,2019-09-01 23:59:00,40.64985,-75.44771,118.9,"ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US",SOD,6,529.0,1834.0,56.0,72.0,60.0,30.28,29.87,62.0,5.8,82.0,61.0,150.0,24.0,0.0,130.0,14.0,2019-09-01
64,72408013739,2019-09-01 23:59:00,39.87327,-75.22678,3.0,"PHILADELPHIA INTERNATIONAL AIRPORT, PA US",SOD,6,528.0,1833.0,57.0,75.0,58.0,30.27,30.24,64.0,7.4,85.0,65.0,30.0,18.0,0.0,130.0,14.0,2019-09-01
65,72451013985,2019-09-01 23:59:00,37.7686,-99.9678,787.0,"DODGE CITY REGIONAL AIRPORT, KS US",SOD,6,610.0,1909.0,68.0,76.0,81.0,30.04,27.4,70.0,12.2,88.0,64.0,170.0,25.0,0.0,160.0,20.0,2019-09-01
66,70395025325,2019-09-01 23:59:00,55.35,-131.65,24.4,"KETCHIKAN AIRPORT, AK US",SOD,6,452.0,1840.0,56.0,61.0,86.0,30.01,29.9,57.0,4.5,69.0,52.0,120.0,13.0,0.0,120.0,12.0,2019-09-01
67,72302013748,2019-09-01 23:59:00,34.2675,-77.8997,10.1,"WILMINGTON INTERNATIONAL AIRPORT, NC US",SOD,6,545.0,1838.0,72.0,77.0,86.0,30.11,30.08,73.0,8.8,83.0,71.0,90.0,30.0,0.35,100.0,23.0,2019-09-01
68,72518014735,2019-09-01 23:59:00,42.74722,-73.79912,85.3,"ALBANY INTERNATIONAL AIRPORT, NY US",SOD,6,520.0,1830.0,53.0,63.0,66.0,30.3,30.0,58.0,5.3,75.0,51.0,170.0,27.0,,170.0,18.0,2019-09-01
69,70389425367,2019-09-01 23:59:00,55.58,-133.075,3.7,"KLAWOCK AIRPORT, AK US",SOD,6,457.0,1846.0,49.0,61.0,75.0,30.0,29.95,54.0,3.4,73.0,48.0,210.0,13.0,0.0,210.0,12.0,2019-09-01
70,70326025503,2019-09-01 23:59:00,58.6829,-156.6563,20.4,"KING SALMON AIRPORT, AK US",SOD,6,625.0,2027.0,50.0,59.0,76.0,29.28,29.23,54.0,19.7,61.0,56.0,130.0,46.0,0.08,150.0,28.0,2019-09-01
71,72773024153,2019-09-01 23:59:00,46.9208,-114.0925,972.9,"MISSOULA INTERNATIONAL AIRPORT, MT US",SOD,6,556.0,1916.0,50.0,73.0,51.0,29.91,26.67,59.0,3.7,92.0,54.0,360.0,21.0,0.0,10.0,15.0,2019-09-01
72,72315003812,2019-09-01 23:59:00,35.4319,-82.5375,645.3,"ASHEVILLE AIRPORT, NC US",SOD,6,602.0,1858.0,60.0,70.0,73.0,30.16,27.94,64.0,1.7,83.0,57.0,180.0,12.0,0.0,150.0,9.0,2019-09-01
73,72208013880,2019-09-01 23:59:00,32.89943,-80.04075,12.2,"CHARLESTON INTL. AIRPORT, SC US",SOD,6,555.0,1845.0,74.0,82.0,86.0,30.07,30.02,75.0,7.3,88.0,75.0,50.0,17.0,0.33,40.0,14.0,2019-09-01
74,72533014827,2019-09-01 23:59:00,40.9705,-85.2063,241.1,"FORT WAYNE INTERNATIONAL AIRPORT, IN US",SOD,6,607.0,1914.0,60.0,65.0,86.0,30.13,29.26,61.0,6.7,70.0,60.0,100.0,21.0,0.06,100.0,15.0,2019-09-01
75,72375003103,2019-09-01 23:59:00,35.1441,-111.6663,2134.5,"FLAGSTAFF AIRPORT, AZ US",SOD,6,559.0,1854.0,41.0,71.0,38.0,30.0,23.42,54.0,7.3,89.0,53.0,230.0,26.0,0.0,230.0,22.0,2019-09-01
76,72548094910,2019-09-01 23:59:00,42.5544,-92.4011,264.6,"WATERLOO MUNICIPAL AIRPORT, IA US",SOD,6,534.0,1844.0,59.0,64.0,77.0,30.1,29.15,62.0,3.3,79.0,49.0,210.0,19.0,0.0,240.0,12.0,2019-09-01
77,72651014944,2019-09-01 23:59:00,43.5778,-96.7539,435.3,"SIOUX FALLS FOSS FIELD, SD US",SOD,6,550.0,1903.0,62.0,67.0,84.0,30.06,28.54,64.0,5.3,74.0,59.0,200.0,20.0,0.0,200.0,13.0,2019-09-01
78,72552014935,2019-09-01 23:59:00,40.9611,-98.3136,560.8,"GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US",SOD,6,600.0,1906.0,65.0,73.0,82.0,30.08,28.14,67.0,7.5,84.0,61.0,140.0,21.0,0.0,180.0,16.0,2019-09-01
79,72556014941,2019-09-01 23:59:00,41.9855,-97.4352,472.7,"NORFOLK KARL STEFAN MEMORIAL AIRPORT, NE US",SOD,6,555.0,1904.0,65.0,73.0,82.0,30.06,28.43,67.0,9.2,84.0,61.0,200.0,20.0,0.0,190.0,15.0,2019-09-01
80,72235003940,2019-09-01 23:59:00,32.3205,-90.0777,100.6,"JACKSON INTERNATIONAL AIRPORT, MS US",SOD,6,535.0,1825.0,69.0,81.0,71.0,30.02,29.67,73.0,4.3,93.0,69.0,350.0,20.0,0.0,350.0,15.0,2019-09-01
81,70133026616,2019-09-01 23:59:00,66.8667,-162.6333,9.1,"KOTZEBUE AIRPORT, AK US",SOD,6,622.0,2117.0,43.0,,58.0,29.53,29.51,51.0,23.0,,,90.0,39.0,,90.0,32.0,2019-09-01
82,72566024028,2019-09-01 23:59:00,41.8705,-103.593,1202.4,"SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US",SOD,6,520.0,1828.0,62.0,78.0,69.0,29.91,25.99,66.0,7.2,93.0,63.0,120.0,19.0,0.0,130.0,17.0,2019-09-01
83,72569024089,2019-09-01 23:59:00,42.89779,-106.47371,1620.9,"CASPER NATRONA CO AIRPORT, WY US",SOD,6,530.0,1841.0,34.0,72.0,35.0,29.92,24.79,52.0,10.8,94.0,49.0,270.0,38.0,0.0,280.0,26.0,2019-09-01
84,72363023047,2019-09-01 23:59:00,35.2295,-101.7042,1098.5,"AMARILLO AIRPORT, TX US",SOD,6,619.0,1914.0,59.0,77.0,58.0,30.0,26.44,66.0,9.6,92.0,62.0,150.0,22.0,0.0,140.0,18.0,2019-09-01
85,72564024018,2019-09-01 23:59:00,41.15778,-104.80694,1863.2,"CHEYENNE WSFO AIRPORT, WY US",SOD,6,526.0,1832.0,36.0,74.0,36.0,29.92,24.08,54.0,9.8,94.0,53.0,260.0,31.0,0.0,300.0,24.0,2019-09-01
86,72417013729,2019-09-01 23:59:00,38.88989,-79.85544,597.7,"ELKINS RANDOLPH CO AIRPORT, WV US",SOD,6,548.0,1850.0,60.0,73.0,67.0,30.2,28.13,65.0,4.7,83.0,62.0,170.0,22.0,0.0,170.0,14.0,2019-09-01
87,72201012836,2019-09-01 23:59:00,24.5571,-81.7554,0.3,"KEY WEST INTERNATIONAL AIRPORT, FL US",SOD,6,608.0,1846.0,75.0,83.0,75.0,29.89,29.88,78.0,7.1,88.0,78.0,290.0,20.0,0.42,300.0,17.0,2019-09-01
88,72206013889,2019-09-01 23:59:00,30.495,-81.6936,7.9,"JACKSONVILLE INTERNATIONAL AIRPORT, FL US",SOD,6,603.0,1850.0,76.0,84.0,83.0,29.99,29.96,78.0,9.7,91.0,77.0,50.0,32.0,0.3,50.0,25.0,2019-09-01
89,72537094847,2019-09-01 23:59:00,42.2313,-83.3308,192.3,"DETROIT METRO AIRPORT, MI US",SOD,6,558.0,1908.0,57.0,65.0,77.0,30.16,29.46,60.0,5.1,68.0,61.0,50.0,13.0,0.13,40.0,9.0,2019-09-01
90,72317013723,2019-09-01 23:59:00,36.0969,-79.9432,271.3,"GREENSBORO AIRPORT, NC US",SOD,6,551.0,1848.0,64.0,75.0,72.0,30.16,29.23,68.0,6.0,84.0,65.0,110.0,19.0,0.0,90.0,15.0,2019-09-01
91,72314013881,2019-09-01 23:59:00,35.2236,-80.9552,221.9,"CHARLOTTE DOUGLAS AIRPORT, NC US",SOD,6,556.0,1851.0,63.0,76.0,62.0,30.14,29.34,68.0,6.4,87.0,65.0,90.0,23.0,0.0,120.0,14.0,2019-09-01
92,72744014858,2019-09-01 23:59:00,47.16861,-88.48889,333.8,"HANCOCK HOUGHTON CO AIRPORT, MI US",SOD,6,613.0,1934.0,51.0,59.0,71.0,30.07,28.94,56.0,6.8,70.0,48.0,300.0,23.0,,290.0,17.0,2019-09-01
93,72504094702,2019-09-01 23:59:00,41.16422,-73.12669,1.5,"IGOR I SIKORSKY MEMORIAL AIRPORT, CT US",SOD,6,519.0,1826.0,56.0,69.0,65.0,30.31,30.29,61.0,10.8,75.0,62.0,90.0,20.0,0.0,100.0,16.0,2019-09-01
